id;descricao;severidade;status;linhas_avaliadas;violacoes;pct_violacoes;exemplos;detalhe
E001;Todas as colunas declaradas no contrato estao presentes.;critico;PASSOU;44;0;0.0;;
E002;Nomes de coluna sao unicos.;critico;PASSOU;44;0;0.0;;
E003;Nenhuma coluna de indice foi exportada por acidente.;critico;PASSOU;44;0;0.0;;
E004;Nenhuma coluna fora do contrato.;aviso;PASSOU;44;0;0.0;;
E005;O arquivo tem ao menos uma linha de dados.;critico;PASSOU;72529;0;0.0;;
E006;Chave primaria ['id'] preenchida em todas as linhas.;critico;PASSOU;72529;0;0.0;;
E007;Chave primaria ['id'] e unica.;critico;PASSOU;72529;0;0.0;;
E008;Nenhuma linha e integralmente duplicada.;critico;PASSOU;72529;0;0.0;;
C10-id;'id' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-id;'id' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C20-id;'id' respeita o padrao ^[0-9]+$.;critico;PASSOU;72529;0;0.0;;
C10-data_inversa;'data_inversa' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-data_inversa;'data_inversa' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C20-data_inversa;'data_inversa' respeita o padrao ^[0-9]{4}-[0-9]{2}-[0-9]{2}$.;critico;PASSOU;72529;0;0.0;;
C10-horario;'horario' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-horario;'horario' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C20-horario;'horario' respeita o padrao ^([01][0-9]|2[0-3]):[0-5][0-9]:[0-5][0-9]$.;critico;PASSOU;72529;0;0.0;;
C10-dia_semana;'dia_semana' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
